22	0.099957	0.101597	0.099717	0.099740	0.100111	0.100114	0.099900	0.099762	0.099843	0.103354	0.099926	0.099848	0.099657	0.099645	0.099757	0.099931	0.100623	0.100150	0.100302	0.100418	0.105430	0.099821	0.100450	0.099634	0.100557	0.099944	0.099728	0.099788	0.099841	0.099940	
23	0.103008	0.104392	0.102605	0.102671	0.102451	0.102489	0.102596	0.102674	0.114150	0.102432	0.102539	0.102711	0.102603	0.102713	0.103211	0.102995	0.102438	0.102549	0.102826	0.103171	0.102721	0.103212	0.102963	0.103137	0.102725	0.102788	0.104788	0.102985	0.102868	0.103248	
24	0.130560	0.130596	0.130071	0.130305	0.130492	0.130613	0.130253	0.130411	0.130488	0.130746	0.130276	0.130362	0.131050	0.130322	0.130105	0.131230	0.130055	0.130407	0.130033	0.130348	0.129879	0.130280	0.131060	0.130289	0.130444	0.130667	0.130175	0.130066	0.131178	0.130763	
25	0.138083	0.138883	0.138457	0.138240	0.170446	0.139490	0.138096	0.138382	0.139210	0.138890	0.138306	0.145676	0.137728	0.140258	0.143662	0.137923	0.138253	0.138140	0.138672	0.137613	0.138486	0.138380	0.138070	0.138920	0.138455	0.138346	0.138878	0.137840	0.137894	0.137936	
26	0.157068	0.155611	0.157705	0.155524	0.156674	0.155332	0.155995	0.155881	0.156806	0.155884	0.155781	0.155601	0.156220	0.155856	0.155969	0.155523	0.155500	0.155377	0.155745	0.155749	0.155800	0.155572	0.155635	0.155679	0.155729	0.156790	0.155977	0.155773	0.155433	0.156941	
27	0.160613	0.160043	0.159125	0.159470	0.159272	0.159955	0.159008	0.161033	0.159160	0.159360	0.159043	0.162139	0.158989	0.159190	0.159328	0.159653	0.159818	0.159788	0.159274	0.159077	0.159121	0.159010	0.159056	0.159240	0.185195	0.159471	0.159254	0.161265	0.158900	0.160961	
28	0.168159	0.168202	0.170238	0.168562	0.168113	0.168070	0.168173	0.168881	0.168622	0.168278	0.168687	0.168605	0.168719	0.169126	0.168108	0.167957	0.168294	0.169479	0.168494	0.173569	0.169537	0.168052	0.168816	0.167856	0.169530	0.168364	0.168401	0.168307	0.168112	0.168460	
29	0.211571	0.212574	0.211881	0.212384	0.213116	0.212225	0.212450	0.214557	0.213075	0.213090	0.217713	0.212290	0.212145	0.212032	0.211845	0.212203	0.212028	0.211675	0.211967	0.213576	0.212271	0.211982	0.211877	0.211668	0.214126	0.212001	0.213899	0.212404	0.212097	0.213776	
30	0.258418	0.258090	0.259592	0.258269	0.258435	0.258532	0.258089	0.259328	0.258542	0.258985	0.258760	0.259039	0.281035	0.258833	0.258518	0.258780	0.300205	0.258548	0.258660	0.258106	0.258885	0.258236	0.258826	0.260627	0.260213	0.258607	0.258372	0.258436	0.265825	0.258407	
31	0.330977	0.331955	0.331745	0.332552	0.330984	0.334588	0.334229	0.330813	0.330885	0.330486	0.331240	0.337454	0.331205	0.330634	0.330307	0.330849	0.331654	0.331486	0.330957	0.331290	0.331180	0.332353	0.330845	0.330616	0.331354	0.330671	0.332212	0.330692	0.330694	0.330780	
32	0.361090	0.360934	0.360593	0.361242	0.361741	0.361471	0.360799	0.364479	0.361704	0.362043	0.361367	0.361254	0.360965	0.360944	0.360637	0.360743	0.361496	0.361139	0.360940	0.360317	0.374635	0.362681	0.362270	0.363752	0.361013	0.361938	0.402009	0.365253	0.360820	0.363522	
33	0.407599	0.408301	0.408047	0.407672	0.407203	0.408080	0.412968	0.407664	0.408357	0.408010	0.407481	0.407721	0.408185	0.407899	0.408317	0.410232	0.407216	0.408037	0.407793	0.407856	0.408011	0.408955	0.408371	0.410307	0.408000	0.409887	0.407066	0.408814	0.407113	0.413841	
34	0.426525	0.427076	0.428816	0.426677	0.427402	0.426259	0.425910	0.426661	0.426063	0.425854	0.429516	0.428908	0.426158	0.425989	0.426664	0.425942	0.427346	0.433301	0.432154	0.427750	0.429831	0.425950	0.426254	0.425803	0.425747	0.426859	0.434445	0.428907	0.428766	0.429311	
35	0.490298	0.489074	0.489762	0.490624	0.490289	0.493212	0.490023	0.490297	0.489288	0.489491	0.489554	0.489253	0.490306	0.490425	0.489726	0.489243	0.489308	0.493440	0.491678	0.488962	0.489876	0.489237	0.489215	0.490935	0.489803	0.489852	0.489956	0.491542	0.489810	0.489965	
