m;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;mean;variance;std_deviation;ci;ci_upper;ci_lower
14;0,012768;0,012718;0,012813;0,01268;0,013007;0,012741;0,012741;0,012741;0,01273;0,012684;0,012766;0,012846;0,012737;0,012747;0,012696;0,012694;0,012759;0,012826;0,012647;0,012765;0,012674;0,01274;0,01266;0,01272;0,012592;0,01261;0,012742;0,012643;0,012687;0,012711;0,0127295;6,12046551724138E-09;7,82334041010704E-05;8,95665995764881E-07;0,0127303957;0,0127286043
15;0,019404;0,019258;0,01953;0,01942;0,019375;0,019274;0,019258;0,019495;0,019546;0,019299;0,019339;0,019265;0,019312;0,019284;0,019362;0,019359;0,019428;0,019365;0,019661;0,019643;0,019367;0,019499;0,019398;0,019289;0,019355;0,019383;0,019307;0,019381;0,019376;0,019203;0,0193811667;1,21869022988505E-08;0,0001103943;1,26386452340483E-06;0,0193824305;0,0193799028
16;0,02804;0,027833;0,027977;0,0281;0,027903;0,027952;0,027909;0,027831;0,027911;0,027966;0,028167;0,027971;0,028362;0,028108;0,027918;0,027978;0,027792;0,027985;0,027975;0,028408;0,028008;0,027881;0,02794;0,027929;0,027998;0,028344;0,028233;0,02796;0,027883;0,028338;0,02802;2,75828275862069E-08;0,0001660808;1,90139895572852E-06;0,0280219014;0,0280180986
17;0,034499;0,034536;0,034319;0,034606;0,034448;0,034437;0,034751;0,03449;0,034428;0,034505;0,034915;0,034481;0,034506;0,034967;0,034588;0,034634;0,034529;0,034733;0,034547;0,034578;0,034502;0,03487;0,034587;0,034521;0,034548;0,034726;0,03825;0,034766;0,035012;0,034516;0,0347265;4,70861844827587E-07;0,0006861937;0,000007856;0,034734356;0,034718644
18;0,047398;0,047334;0,047347;0,047768;0,047775;0,04843;0,047315;0,047337;0,047263;0,047604;0,047577;0,047888;0,047661;0,048051;0,04736;0,047332;0,047367;0,047362;0,048835;0,047729;0,047849;0,047809;0,047385;0,047368;0,047531;0,047513;0,047303;0,04737;0,04745;0,04735;0,0475887;1,27601872413793E-07;0,000357214;4,08961459714588E-06;0,0475927896;0,0475846104
19;0,054251;0,055021;0,054829;0,054891;0,054718;0,054653;0,054953;0,054498;0,054187;0,05476;0,055274;0,054531;0,054277;0,054269;0,054197;0,055328;0,054412;0,056189;0,054157;0,054404;0,054418;0,054217;0,054795;0,054005;0,054165;0,054805;0,054693;0,054616;0,054339;0,054377;0,0546076333;2,02498240229885E-07;0,000449998;5,15186513262102E-06;0,0546127852;0,0546024815
20;0,069314;0,068749;0,068797;0,069013;0,068816;0,068881;0,068938;0,068727;0,068715;0,068931;0,069015;0,068698;0,068742;0,068651;0,068919;0,068963;0,068916;0,0689;0,070813;0,06908;0,069107;0,069188;0,069224;0,068818;0,068769;0,068733;0,068794;0,069093;0,069567;0,068904;0,0689925;1,60287775862069E-07;0,0004003596;4,58357202402014E-06;0,0689970836;0,0689879164
21;0,081381;0,07617;0,083721;0,078918;0,07503;0,075093;0,075029;0,075434;0,075318;0,07628;0,074927;0,074913;0,075027;0,075423;0,074899;0,074817;0,075413;0,074894;0,074814;0,075025;0,075011;0,075091;0,07508;0,07495;0,075277;0,074892;0,074911;0,074931;0,074981;0,074969;0,0757539667;4,10172051609195E-06;0,0020252705;2,31865904567171E-05;0,0757771533;0,0757307801
22;0,099957;0,101597;0,099717;0,09974;0,100111;0,100114;0,0999;0,099762;0,099843;0,103354;0,099926;0,099848;0,099657;0,099645;0,099757;0,099931;0,100623;0,10015;0,100302;0,100418;0,10543;0,099821;0,10045;0,099634;0,100557;0,099944;0,099728;0,099788;0,099841;0,09994;0,1003161667;1,46187048850575E-06;0,0012090784;1,38423016182299E-05;0,100330009;0,1003023244
23;0,103008;0,104392;0,102605;0,102671;0,102451;0,102489;0,102596;0,102674;0,11415;0,102432;0,102539;0,102711;0,102603;0,102713;0,103211;0,102995;0,102438;0,102549;0,102826;0,103171;0,102721;0,103212;0,102963;0,103137;0,102725;0,102788;0,104788;0,102985;0,102868;0,103248;0,1032886333;4,47857837816092E-06;0,0021162652;2,42283561032584E-05;0,1033128617;0,103264405
24;0,13056;0,130596;0,130071;0,130305;0,130492;0,130613;0,130253;0,130411;0,130488;0,130746;0,130276;0,130362;0,13105;0,130322;0,130105;0,13123;0,130055;0,130407;0,130033;0,130348;0,129879;0,13028;0,13106;0,130289;0,130444;0,130667;0,130175;0,130066;0,131178;0,130763;0,1304508;1,20375958620689E-07;0,0003469524;3,97213260072849E-06;0,1304547721;0,1304468279
25;0,138083;0,138883;0,138457;0,13824;0,170446;0,13949;0,138096;0,138382;0,13921;0,13889;0,138306;0,145676;0,137728;0,140258;0,143662;0,137923;0,138253;0,13814;0,138672;0,137613;0,138486;0,13838;0,13807;0,13892;0,138455;0,138346;0,138878;0,13784;0,137894;0,137936;0,1399204333;3,61066277712643E-05;0,0060088791;6,87934869313472E-05;0,1399892268;0,1398516398
26;0,157068;0,155611;0,157705;0,155524;0,156674;0,155332;0,155995;0,155881;0,156806;0,155884;0,155781;0,155601;0,15622;0,155856;0,155969;0,155523;0,1555;0,155377;0,155745;0,155749;0,1558;0,155572;0,155635;0,155679;0,155729;0,15679;0,155977;0,155773;0,155433;0,156941;0,155971;3,33277793103446E-07;0,0005773022;6,60932407381239E-06;0,1559776093;0,1559643907
27;0,160613;0,160043;0,159125;0,15947;0,159272;0,159955;0,159008;0,161033;0,15916;0,15936;0,159043;0,162139;0,158989;0,15919;0,159328;0,159653;0,159818;0,159788;0,159274;0,159077;0,159121;0,15901;0,159056;0,15924;0,185195;0,159471;0,159254;0,161265;0,1589;0,160961;0,1604937;2,23995991827586E-05;0,0047328215;5,4184364267111E-05;0,1605478844;0,1604395156
28;0,168159;0,168202;0,170238;0,168562;0,168113;0,16807;0,168173;0,168881;0,168622;0,168278;0,168687;0,168605;0,168719;0,169126;0,168108;0,167957;0,168294;0,169479;0,168494;0,173569;0,169537;0,168052;0,168816;0,167856;0,16953;0,168364;0,168401;0,168307;0,168112;0,16846;0,1687257;1,13970890689656E-06;0,0010675715;1,22222406308969E-05;0,1687379222;0,1687134778
29;0,211571;0,212574;0,211881;0,212384;0,213116;0,212225;0,21245;0,214557;0,213075;0,21309;0,217713;0,21229;0,212145;0,212032;0,211845;0,212203;0,212028;0,211675;0,211967;0,213576;0,212271;0,211982;0,211877;0,211668;0,214126;0,212001;0,213899;0,212404;0,212097;0,213776;0,2126832667;1,52079696091954E-06;0,001233206;1,41185298596558E-05;0,2126973852;0,2126691481
30;0,258418;0,25809;0,259592;0,258269;0,258435;0,258532;0,258089;0,259328;0,258542;0,258985;0,25876;0,259039;0,281035;0,258833;0,258518;0,25878;0,300205;0,258548;0,25866;0,258106;0,258885;0,258236;0,258826;0,260627;0,260213;0,258607;0,258372;0,258436;0,265825;0,258407;0,2611066;7,2690672662069E-05;0,0085258825;9,76097504697226E-05;0,2612042098;0,2610089902
31;0,330977;0,331955;0,331745;0,332552;0,330984;0,334588;0,334229;0,330813;0,330885;0,330486;0,33124;0,337454;0,331205;0,330634;0,330307;0,330849;0,331654;0,331486;0,330957;0,33129;0,33118;0,332353;0,330845;0,330616;0,331354;0,330671;0,332212;0,330692;0,330694;0,33078;0,3315895667;0,000002213;0,0014876033;0,000017031;0,3316065977;0,3315725356
32;0,36109;0,360934;0,360593;0,361242;0,361741;0,361471;0,360799;0,364479;0,361704;0,362043;0,361367;0,361254;0,360965;0,360944;0,360637;0,360743;0,361496;0,361139;0,36094;0,360317;0,374635;0,362681;0,36227;0,363752;0,361013;0,361938;0,402009;0,365253;0,36082;0,363522;0,3634597;0,000059979;0,0077446141;8,86652900476159E-05;0,3635483653;0,3633710347
33;0,407599;0,408301;0,408047;0,407672;0,407203;0,40808;0,412968;0,407664;0,408357;0,40801;0,407481;0,407721;0,408185;0,407899;0,408317;0,410232;0,407216;0,408037;0,407793;0,407856;0,408011;0,408955;0,408371;0,410307;0,408;0,409887;0,407066;0,408814;0,407113;0,413841;0,4085001;2,44643554137931E-06;0,0015641085;1,79069139810362E-05;0,4085180069;0,4084821931
34;0,426525;0,427076;0,428816;0,426677;0,427402;0,426259;0,42591;0,426661;0,426063;0,425854;0,429516;0,428908;0,426158;0,425989;0,426664;0,425942;0,427346;0,433301;0,432154;0,42775;0,429831;0,42595;0,426254;0,425803;0,425747;0,426859;0,434445;0,428907;0,428766;0,429311;0,4277614667;5,19126405057471E-06;0,0022784346;0,000026085;0,4277875516;0,4277353817
35;0,490298;0,489074;0,489762;0,490624;0,490289;0,493212;0,490023;0,490297;0,489288;0,489491;0,489554;0,489253;0,490306;0,490425;0,489726;0,489243;0,489308;0,49344;0,491678;0,488962;0,489876;0,489237;0,489215;0,490935;0,489803;0,489852;0,489956;0,491542;0,48981;0,489965;0,4901481333;1,18758136091955E-06;0,0010897621;1,24762924147485E-05;0,4901606096;0,490135657
36;0,507161;0,507337;0,511822;0,507593;0,508544;0,506798;0,507618;0,507152;0,50828;0,507869;0,507332;0,507297;0,507857;0,506841;0,507118;0,506602;0,508144;0,507757;0,507997;0,509001;0,513482;0,506989;0,507086;0,507775;0,507016;0,508652;0,50827;0,508268;0,508005;0,507552;0,5079738333;2,01431641954023E-06;0,0014192662;1,62486657564759E-05;0,507990082;0,5079575847
37;0,526422;0,526893;0,527277;0,537401;0,526609;0,526684;0,526598;0,525917;0,525984;0,526401;0,52745;0,526943;0,526273;0,527735;0,537327;0,526168;0,526468;0,528343;0,52686;0,527176;0,527926;0,573685;0,526584;0,527036;0,527964;0,527567;0,5262;0,525658;0,529492;0,526673;0,5291904667;7,82385421885059E-05;0,0088452553;0,0001012661;0,5292917328;0,5290892005
38;0,638334;0,548335;0,546413;0,546723;0,546358;0,546233;0,551546;0,549589;0,546128;0,55;0,546396;0,548714;0,546265;0,548225;0,547099;0,54707;0,553079;0,546644;0,546427;0,548447;0,552199;0,547056;0,546311;0,546274;0,54688;0,546808;0,662906;0,551502;0,546123;0,546189;0,5546757667;0,0006946053;0,0263553658;0,0003017331;0,5549774997;0,5543740336
