m;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;Tempo Médio Recursivo;variance;std_deviation;ci;ci_upper;ci_lower
26;2,436137;2,418961;2,424801;2,414613;2,401657;2,434674;2,401055;2,407355;2,416849;2,413435;2,412873;2,416125;2,402266;2,411652;2,409423;2,412428;2,409015;2,415472;2,416299;2,406469;2,40911;2,429375;2,41893;2,415346;2,409035;2,416331;2,417159;2,402152;2,416657;2,411579;2,4142411;0,000074865;0,0086524549;9,9058831696656E-05;2,4143401588;2,4141420412
27;3,012364;3,026888;3,05327;3,025389;3,027472;3,022177;3,03389;3,03448;3,038973;3,022077;3,030253;3,027482;3,02612;3,048533;3,022557;3,029593;3,008125;3,032853;3,02734;3,006041;3,032456;3,033636;3,021894;3,028367;3,024786;3,013277;3,012985;3,008896;3,010399;3,02585;3,0256141;0,0001231554;0,0110975391;0,0001270517;3,0257411517;3,0254870483
28;3,665998;3,650649;3,662308;3,663055;3,68998;3,66422;3,644895;3,644985;3,733482;3,669063;3,68623;3,668097;3,658124;3,655638;3,647856;3,648976;3,670386;3,64711;3,672553;3,666797;3,643637;3,663577;3,673795;3,663659;3,666754;3,701845;3,663408;3,660041;3,671663;3,646174;3,6654985;0,0003526073;0,018777841;0,0002149807;3,6657134807;3,6652835193
29;3,732622;3,720599;3,721856;3,725896;3,775448;3,739006;3,74678;3,724192;3,744069;3,753791;3,720582;3,719654;3,742186;3,730469;3,746833;3,747095;3,72446;3,729983;3,72227;3,730164;3,746078;3,750041;3,73294;3,759863;3,741244;3,727974;3,719855;3,735398;3,723982;3,721414;3,7352248;0,0001906543;0,0138077623;0,0001580801;3,7353828801;3,7350667199
30;8,92016;8,82036;8,908996;8,823338;8,848827;8,871339;8,895962;8,865685;8,847812;8,847675;8,893436;8,832278;8,81896;8,869869;8,874049;8,809907;8,827577;8,991426;8,81904;8,817847;8,837293;8,877654;8,83515;8,910589;8,943151;8,863139;8,859341;8,86078;8,869846;8,807912;8,8623132667;0,0018119581;0,0425671007;0,0004873354;8,862800602;8,8618259313
31;11,490301;11,507159;11,476708;11,503002;11,597971;11,568362;11,508973;11,537334;11,533194;11,485463;11,544567;11,545576;11,479133;11,501685;11,54973;11,4632;11,534714;11,595548;11,610317;11,486787;11,603072;11,568981;11,548257;11,536444;11,479699;11,474389;11,535088;11,714237;11,50251;11,485662;11,5322687667;0,0029301183;0,054130567;0,0006197213;11,532888488;11,5316490454
32;12,800563;12,7671;12,8031;12,740458;12,731725;12,846864;13,004849;12,766177;12,76792;12,885614;12,833755;12,832962;12,762378;12,952139;12,761518;12,84632;12,880856;12,754107;12,770092;12,867293;12,807851;12,799034;12,870152;12,748308;12,849405;12,742358;12,793383;12,828982;12,743745;12,787396;12,8115468;0,004174784;0,0646125684;0,000739726;12,812286526;12,810807074
33;17,010704;16,919327;17,043342;16,93606;16,998699;17,017294;16,969337;16,97533;16,95045;17,026686;17,099285;17,033589;16,934644;17,076202;17,077893;17,010944;17,048878;17,039073;17,027768;16,90981;17,113489;17,022543;16,928972;16,919169;16,962189;17,344054;17,117166;17,035929;17,111602;16,987829;17,0216085667;0,0074504115;0,0863157663;0,000988198;17,0225967647;17,0206203686
34;19,278005;19,330104;19,324216;19,381581;19,288573;19,411684;19,383364;19,294299;19,385174;19,270392;19,288765;19,37392;19,382037;19,381408;19,353098;19,400518;19,414069;19,52927;19,394954;19,356273;19,373517;19,255411;19,375651;19,275018;19,418845;19,269553;19,372897;19,41416;19,38226;20,57599;19,3978335333;0,0531342202;0,230508612;0,0026390099;19,4004725432;19,3951945235
35;28,234336;28,335202;28,266352;28,363764;28,444963;28,265573;28,513304;28,326602;28,206342;28,244941;28,354214;28,387402;28,270047;28,231316;28,341921;28,83803;28,394243;28,394493;28,37418;28,311622;28,279136;28,360138;28,791546;28,254912;28,359126;28,371196;28,270722;28,21773;28,21702;28,1983;28,3472891;0,0219264291;0,1480757545;0,0016952658;28,3489843658;28,3455938342
