4	0.000021	0.000020	0.000022	0.000022	0.000026	0.000021	0.000020	0.000021	0.000021	0.000026	0.000019	0.000021	0.000021	0.000020	0.000021	0.000022	0.000021	0.000019	0.000021	0.000021	0.000019	0.000019	0.000022	0.000021	0.000020	0.000022	0.000022	0.000019	0.000020	0.000022	
5	0.000045	0.000041	0.000049	0.000042	0.000042	0.000042	0.000042	0.000041	0.000044	0.000043	0.000041	0.000045	0.000043	0.000042	0.000045	0.000043	0.000042	0.000042	0.000041	0.000045	0.000041	0.000041	0.000044	0.000044	0.000040	0.000044	0.000043	0.000042	0.000044	0.000044	
6	0.000097	0.000088	0.000096	0.000098	0.000093	0.000096	0.000098	0.000143	0.000097	0.000097	0.000096	0.000087	0.000097	0.000095	0.000092	0.000099	0.000090	0.000093	0.000094	0.000097	0.000089	0.000098	0.000101	0.000099	0.000086	0.000098	0.000086	0.000098	0.000088	0.000098	
7	0.000189	0.000204	0.000192	0.000201	0.000207	0.000221	0.000206	0.000206	0.000196	0.000193	0.000218	0.000218	0.000209	0.000203	0.000200	0.000189	0.000202	0.000213	0.000215	0.000217	0.000208	0.000197	0.000204	0.000205	0.000219	0.000219	0.000222	0.000189	0.000198	0.000187	
8	0.000463	0.000421	0.000430	0.000434	0.000487	0.000439	0.000460	0.000482	0.000462	0.000492	0.000442	0.000422	0.000447	0.000461	0.000459	0.000483	0.000446	0.000482	0.000480	0.000464	0.000464	0.000461	0.000429	0.000445	0.000454	0.000448	0.000464	0.000433	0.000433	0.000461	
9	0.000985	0.001030	0.001004	0.000998	0.001020	0.000997	0.000983	0.001035	0.001035	0.001012	0.001013	0.000999	0.001014	0.001004	0.001003	0.000990	0.000947	0.001051	0.001030	0.001007	0.000962	0.001000	0.001019	0.001028	0.000995	0.001006	0.001006	0.001049	0.001031	0.000962	
10	0.002005	0.002054	0.001988	0.002003	0.001987	0.002040	0.002069	0.002018	0.002011	0.002010	0.002040	0.001973	0.001985	0.002014	0.001923	0.002002	0.001981	0.002008	0.001939	0.002086	0.001981	0.002027	0.001973	0.002012	0.001971	0.002089	0.001973	0.002057	0.001978	0.002102	
11	0.004360	0.004326	0.004386	0.004373	0.004394	0.004405	0.004487	0.004418	0.004365	0.004416	0.004349	0.004392	0.004386	0.004460	0.004480	0.004380	0.004381	0.004372	0.004488	0.004380	0.004375	0.004442	0.004394	0.004360	0.004372	0.004394	0.004399	0.004492	0.004378	0.004433	
12	0.009606	0.009532	0.009529	0.009533	0.009628	0.009475	0.009545	0.009606	0.009537	0.009666	0.009594	0.009598	0.009591	0.009672	0.009556	0.009570	0.009538	0.009642	0.009613	0.009606	0.009687	0.009616	0.009671	0.009649	0.009606	0.009682	0.009525	0.009597	0.009579	0.009530	
13	0.020910	0.021129	0.020898	0.020904	0.020986	0.020947	0.020823	0.021121	0.021239	0.020901	0.021229	0.021142	0.021130	0.020968	0.020829	0.021042	0.021227	0.021181	0.021172	0.021026	0.020979	0.021010	0.021140	0.020977	0.021086	0.020970	0.021003	0.021033	0.020945	0.020868	
14	0.032388	0.032481	0.032205	0.032178	0.032157	0.032337	0.032393	0.032502	0.032507	0.032290	0.032402	0.032097	0.032079	0.032047	0.032329	0.032402	0.032279	0.032248	0.032477	0.032313	0.032443	0.032574	0.032273	0.032711	0.032146	0.032364	0.032208	0.032513	0.032393	0.032416	
15	0.053901	0.053491	0.053600	0.053227	0.053728	0.053580	0.053518	0.053673	0.053358	0.053711	0.053472	0.053634	0.053736	0.053670	0.053482	0.053761	0.053789	0.053745	0.053644	0.054089	0.053768	0.053942	0.053543	0.053219	0.054660	0.053748	0.053590	0.053228	0.053182	0.056092	
16	0.089219	0.089037	0.089436	0.088867	0.089297	0.089489	0.089109	0.089106	0.088983	0.089008	0.088760	0.088504	0.088882	0.089585	0.088288	0.089860	0.089380	0.088939	0.089277	0.088507	0.089053	0.089317	0.088685	0.089437	0.088825	0.089893	0.088985	0.089448	0.088801	0.088949	
17	0.268681	0.267588	0.266893	0.268285	0.269275	0.272224	0.268304	0.268071	0.288634	0.282689	0.266465	0.267788	0.268627	0.266820	0.268388	0.267644	0.267710	0.268652	0.268487	0.268303	0.268072	0.266830	0.268264	0.269347	0.267307	0.268298	0.267701	0.268430	0.266736	0.268616	
18	0.460652	0.459522	0.461113	0.458976	0.461309	0.463718	0.462518	0.464507	0.461083	0.461675	0.462174	0.470510	0.464244	0.459367	0.463104	0.460414	0.463766	0.458652	0.464864	0.461900	0.462895	0.462233	0.462101	0.463584	0.460827	0.459931	0.463791	0.462132	0.464401	0.461164	
19	0.469816	0.461682	0.459188	0.462306	0.461466	0.460215	0.458535	0.462058	0.463042	0.460735	0.462737	0.461765	0.459571	0.458525	0.462127	0.459098	0.459453	0.460471	0.462098	0.463854	0.462263	0.462638	0.459245	0.459079	0.458939	0.463164	0.461265	0.460622	0.462615	0.460211	
20	0.900467	0.897979	0.897248	0.903815	0.899897	0.898557	0.899909	0.898478	0.898182	0.900209	0.891624	0.898112	0.901323	0.896271	0.891825	0.896465	0.893507	0.897019	0.897958	0.901924	0.903264	0.891841	0.892242	0.893035	0.893514	0.899918	0.895123	0.896937	0.899597	0.894406	
21	1.465274	1.466007	1.478963	1.470920	1.465382	1.475774	1.477864	1.470472	1.470939	1.478319	1.466430	1.471152	1.476949	1.471669	1.497340	1.471759	1.473171	1.464538	1.471010	1.476890	1.477499	1.471670	1.472034	1.472837	1.477006	1.464777	1.471606	1.470687	1.468270	1.465450	
