0	0	0	0	0	0	0	0	0	0	0	0	0	4478	4498	0	0	0	4078	0	0	0	0	4376	4376	4376	0	0	0	0	
0	0	4478	4478	4478	4478	4478	0	0	0	0	0	0	4475	4478	4498	4498	4498	3688	0	0	0	0	4078	4078	4078	4461	0	4461	4461	
0	4487	4307	4475	4475	4475	4475	4478	0	0	0	0	4478	3688	4475	4478	4475	4078	3667	4078	4078	4078	4376	3708	3708	3708	4078	4461	3708	3708	
0	4307	4188	4307	4307	4307	4307	4475	4478	0	0	0	4475	3667	4078	4475	4078	3688	3631	3688	3688	3674	4078	3674	3674	3674	3708	4078	3674	3674	
4487	4188	3819	4188	4188	4188	4188	4188	4475	0	4478	4478	3689	3631	3688	4078	3688	3667	3624	3667	3631	3631	3674	3631	3620	3620	3674	3708	3651	3651	
0	3819	3689	3819	3689	3689	3689	3689	4188	0	4475	4475	3688	3624	3667	3688	3667	3631	3623	3631	3624	3624	3631	3620	3195	3195	3651	3674	3620	3438	
4307	3689	3493	3689	3493	3667	3688	3688	3689	4478	4188	4188	3667	3623	3631	3667	3631	3624	3620	3624	3623	3623	3624	3195	3169	3169	3620	3651	3438	3314	
4188	3493	3265	3493	3265	3493	3667	3667	3688	4475	3689	3689	3631	3493	3624	3631	3624	3623	3273	3623	3620	3620	3620	3169	3146	3168	3314	3620	3314	3279	
3819	3265	3183	3265	3197	3265	3493	3623	3667	4188	3688	3688	3624	3265	3623	3624	3623	3620	3265	3620	3265	3265	3265	3146	3111	3146	3195	3438	3279	3195	
3689	3183	3118	3197	3183	3197	3265	3493	3624	3689	3667	3667	3623	3183	3620	3623	3620	3273	3195	3265	3195	3195	3195	3111	2583	3111	3169	3314	3195	3169	
3265	3118	3085	3183	3118	3183	3183	3265	3623	3688	3631	3631	3493	3169	3493	3620	3273	3265	3183	3195	3169	3169	3169	2982	2581	2583	3168	3195	3169	3168	
3183	3085	2945	3118	2945	3118	3146	3183	3493	3667	3624	3624	3265	3146	3265	3493	3265	3195	3169	3169	3146	3146	3146	2583	2391	2581	3146	3169	3168	3146	
3118	2945	2590	2945	2590	2945	3118	3146	3265	3631	3623	3623	3183	3118	3195	3265	3195	3183	3146	3146	3118	3118	3111	2581	2364	2391	3111	3168	3146	3111	
3085	2590	2586	2590	2586	2590	2945	3118	3183	3624	3493	3493	3169	2569	3183	3195	3183	3169	3118	3118	3111	3111	2982	2391	2362	2385	2583	3146	3111	2583	
2945	2586	2585	2586	2585	2586	2935	2945	3146	3623	3265	3265	3146	2393	3169	3183	3169	3146	3111	3111	2581	2982	2581	2364	2355	2364	2581	3111	2583	2391	
2590	2585	2577	2585	2575	2585	2590	2935	3118	3493	3183	3183	3118	2366	3146	3169	3146	3118	2569	2569	2557	2581	2391	2362	2350	2355	2391	2583	2391	2385	
2585	2577	2575	2577	2366	2575	2586	2586	2945	3265	3152	3152	2569	2363	3118	3146	3118	2569	2557	2557	2393	2557	2364	2355	2335	2350	2385	2581	2385	2357	
2577	2513	2513	2575	2362	2366	2585	2585	2935	3183	3146	3146	2393	2362	2569	3118	2569	2557	2393	2393	2391	2393	2363	2350	2333	2335	2355	2391	2357	2350	
2513	2381	2362	2513	2354	2362	2575	2575	2586	3152	3118	3118	2366	2361	2557	2569	2557	2393	2364	2391	2364	2391	2362	2335	2302	2333	2350	2385	2350	2335	
2381	2362	2354	2362	2353	2353	2366	2366	2575	3146	2366	2366	2362	2333	2393	2557	2393	2364	2363	2364	2363	2364	2355	2333	2286	2302	2335	2350	2335	2333	
0	2354	2353	2354	2339	2339	2362	2362	2366	3118	2362	2362	2361	2286	2363	2393	2364	2363	2362	2363	2362	2363	2335	2302	2243	2286	2333	2335	2333	2302	
2362	2353	2339	2353	2300	2300	2361	2361	2362	2575	2361	2361	2333	0	2362	2363	2363	2362	2355	2362	2355	2362	2333	2286	2242	2243	2302	2333	2302	2286	
2354	2339	2300	2339	2286	2286	2353	2353	2361	2366	2353	2333	2300	2243	2361	2362	2362	2355	2333	2355	2335	2355	2302	0	2235	2242	2286	2302	2286	2243	
2339	2300	2286	2300	2281	2281	2339	2339	2353	2362	2333	2300	2286	2235	2333	2361	2333	2333	2286	2335	2333	2335	2286	2243	2233	2235	2243	2286	2243	2242	
2300	2286	2281	2286	2243	2243	2300	2300	2339	2361	2300	2286	0	2211	2286	2333	2286	2286	0	2333	2286	2333	0	2235	2195	2233	2242	2243	2242	2233	
2286	2281	2243	2281	2232	2211	2286	2286	2300	2353	2286	0	2243	2178	0	2286	0	0	2243	2286	0	2302	2243	2233	2178	2195	2235	2242	2235	2195	
2281	2243	2232	2243	2211	2208	2281	2281	2286	2300	0	2243	2235	2144	2243	0	2243	2243	2235	0	2243	2286	2235	2195	2163	2178	2233	2235	2233	2163	
2243	2232	2211	2232	2208	2178	2243	2243	0	2286	2243	2235	2211	2142	2235	2243	2235	2235	2211	2243	0	0	2233	2178	2141	2163	2195	2233	2195	2141	
2232	2211	2208	2211	2178	2144	2211	2235	2281	0	2235	2211	2178	2141	2211	2235	2211	2211	2195	2235	2235	2243	2195	2163	2112	2141	2178	2195	2163	2112	
2211	2208	2178	2208	2144	2142	2208	2211	2243	2281	2211	2178	2144	2098	2178	2211	2195	2195	2178	2211	2211	2235	2178	2141	2106	2112	2163	2163	2141	2106	
2208	2178	2144	2178	2142	2077	2178	2208	2235	2243	2178	2144	2142	2093	2144	2178	2178	2178	2163	2195	2195	2211	2163	2112	2098	2106	2141	2141	2112	2098	
2178	2175	2142	2144	2077	2067	2144	2178	2211	2235	2144	2142	2141	2067	2142	2144	2144	2163	2142	2178	2178	2195	2142	2106	2093	2098	2112	2112	2106	2093	
2175	2144	2077	2142	2067	2065	2142	2144	2178	2211	2142	2141	2098	2065	2141	2142	2142	2144	2141	2163	2163	2178	2141	2098	2067	2093	2106	2106	2098	2067	
0	2142	2067	2077	2065	2048	2098	2142	2144	2178	2141	2098	2067	2048	2098	2141	2141	2142	2112	2142	2142	2163	2112	2093	2048	2067	2098	2098	2093	2057	
2144	2077	2065	2067	2048	2036	2077	2098	2142	2144	2098	2077	2065	2036	2093	2112	2112	2141	2098	2141	2141	2142	2106	2067	2045	2057	2093	2093	2067	2048	
2142	2065	2048	2065	2030	2030	2067	2077	2098	2142	2077	2067	2048	2030	2067	2098	2098	2112	2093	2112	2112	2141	2098	2048	2036	2048	2067	2067	2057	2045	
2077	2048	2030	2048	2017	2017	2065	2067	2077	2141	2067	2065	2036	2021	2065	2093	2093	2098	2067	2098	2098	2112	2093	2045	2030	2045	2057	2057	2048	2036	
2065	2030	2017	2030	2001	2001	2048	2065	2067	2098	2065	2048	2030	2017	2048	2067	2067	2093	2048	2093	2093	2106	2067	2036	2015	2036	2048	2048	2045	2011	
2030	2017	2001	2017	2000	2000	2036	2048	2065	2077	2048	2036	2021	2000	2036	2065	2065	2067	2036	2067	2067	2098	2048	2030	2011	2030	2045	2045	2036	1975	
2017	2001	2000	2001	1997	1997	2030	2036	2048	2067	2036	2030	2017	1996	2030	2048	2048	2065	2030	2048	2048	2093	2045	2015	1975	2015	2036	2036	2011	1691	
2001	2000	1997	2000	1983	1983	2017	2030	2036	2065	2030	2021	2000	1956	2017	2036	2036	2048	2017	2045	2045	2067	2036	2011	1960	2011	2030	2030	1975	1672	
2000	1997	1983	1997	1928	1928	2001	2021	2030	2048	2021	2017	1956	1704	1996	2030	2030	2036	1996	2036	2036	2048	2030	1996	1877	1975	2015	2011	1691	1667	
1997	1983	1925	1983	1925	1925	2000	2017	2021	2036	2017	2000	1884	1683	1956	2017	2017	2030	1960	2030	2030	2045	2015	1960	1704	1960	2011	1975	1672	0	
1974	1974	1884	1925	1884	1884	1997	2001	2017	2030	2000	1956	1704	1675	1704	1996	1996	2017	1897	2017	2017	2036	1996	1897	1691	1877	1975	1960	1667	1666	
