24019	23630	24019	24586	24586	24586	24586	24586	24586	24586	24586	24586	24586	24586	24586	24586	24586	24586	24586	24586	23630	23630	23630	23630	23630	23630	24586	24586	25352	25352	
23630	23517	23630	24019	24019	24019	24019	24019	24019	24019	24019	24019	24019	24019	24019	23630	23630	23630	23630	23630	23426	23426	23426	23426	23426	23426	23630	23630	24586	24586	
23517	23426	23517	23630	23630	23630	23630	23630	23630	23630	23630	23630	23630	23630	23630	23517	23517	23517	23426	23426	22632	22632	22632	22632	22632	22632	23426	23426	23630	23630	
23426	22632	23426	23517	23517	23517	23517	23517	23517	23517	23517	23517	23517	23517	23517	23426	23426	23426	22632	22632	22161	22161	22161	22161	22161	22161	22632	22632	23426	23426	
22632	22569	22632	23426	23426	23426	23426	23426	23426	23426	23426	23426	23426	23426	23426	22632	22632	22632	22161	22161	21725	19746	19232	19232	19232	19232	22161	22161	22632	22632	
22569	22161	22569	22632	22632	22632	22632	22632	22632	22632	22632	22632	22632	22632	22632	22161	22161	22161	21725	21725	19746	19232	18383	18383	18383	18383	19232	19232	22161	22161	
22161	21725	22161	22569	22569	22569	22569	22569	22569	22569	22569	22569	22161	22161	22161	21725	21725	21725	19746	19746	19232	18383	18159	18159	18159	18159	18383	18383	19232	19232	
21725	19746	21725	22161	22161	22161	22161	22161	22161	22161	22161	22161	21725	21725	21725	19746	19746	19746	19232	19232	18383	18159	16236	16236	16236	16236	18159	18159	18383	18383	
19746	18383	19746	21725	21725	21725	21725	21725	21725	21725	21725	21725	19746	19746	19746	19232	19232	19232	18383	18383	18159	16236	14571	14571	14571	14571	16236	16236	18159	18159	
18383	18159	18383	19746	19746	19746	19746	19746	19746	19746	19746	19746	18383	19232	19232	18383	18383	18383	18159	18159	16236	14571	11913	11913	11913	11913	14571	14571	16236	16236	
18159	16236	18159	18383	18383	18383	18383	18383	18383	18383	18383	18383	18159	18383	18383	18159	18159	18159	16236	16236	14571	11913	11840	11840	11840	11840	11913	12350	14571	14571	
16236	14016	16236	18159	18159	18159	18159	18159	18159	18159	18159	18159	16236	18159	18159	16236	16236	16236	14571	14571	11913	11840	11666	11666	11666	11666	11840	11913	12350	12350	
14016	13572	14016	16236	16236	16236	16236	16236	16236	16236	16236	16236	13572	16236	16236	14571	14571	14571	11840	11913	11840	11666	11521	11521	11521	11521	11666	11840	11913	11913	
13572	12417	13572	14016	14016	14016	14016	14016	14016	13572	13572	13572	11840	13572	11840	11840	11840	11840	11666	11840	11666	11521	10540	10540	10540	10540	11521	11666	11840	11840	
12417	11840	12417	13572	13572	13572	13572	13572	13572	11840	11840	11840	11666	11840	11666	11666	11666	11666	11521	11666	11521	10540	10534	10534	10534	10534	10540	11521	11666	11666	
