round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.71293	0.880954	0.90834	0.24266	0.459063	0.260865
2	0.653977	0.884438	0.895211	0.236499	0.458242	0.258903
3	0.656612	0.889142	0.895143	0.236221	0.464863	0.247473
4	0.650475	0.886338	0.922264	0.241356	0.458395	0.248333
5	0.643806	0.888138	0.889877	0.236344	0.461653	0.246724
6	0.646003	0.915148	0.953167	0.243443	0.473915	0.258836
7	0.693226	0.903902	0.907482	0.269878	0.480345	0.247728
8	0.647683	0.882871	0.896561	0.240779	0.465171	0.261162
9	0.703633	0.887064	0.901194	0.236084	0.459171	0.261284
10	0.645128	0.917078	0.898856	0.238841	0.461939	0.246035
11	0.653478	0.884367	0.89985	0.243504	0.50566	0.250199
12	0.651166	0.879732	0.897684	0.236521	0.464463	0.247124
13	0.654965	0.879732	0.91907	0.250728	0.458558	0.246645
14	0.645297	0.879171	0.899633	0.240309	0.465357	0.260645
15	0.647829	0.88671	0.896535	0.236184	0.469607	0.246096
16	0.654359	0.880153	0.891985	0.242617	0.459071	0.24689
17	0.645944	0.887741	0.896793	0.236386	0.468135	0.248112
18	0.644926	0.880047	0.91026	0.241425	0.462128	0.247341
19	0.65295	0.881834	0.902176	0.247749	0.458357	0.258084
20	0.655891	0.886328	0.89332	0.237948	0.470929	0.252893
21	0.651566	0.877642	0.891884	0.250211	0.458479	0.246481
22	0.660048	0.886329	0.892906	0.236288	0.463868	0.258116
23	0.648917	0.887887	0.890115	0.236137	0.467377	0.245823
24	0.646578	0.877368	0.893574	0.236269	0.458122	0.251104
25	0.643286	0.883984	0.915536	0.236339	0.460598	0.245678
26	0.650179	0.875933	0.886881	0.244074	0.464909	0.247986
27	0.649859	0.876283	0.891927	0.236187	0.458217	0.253966
28	0.644336	0.882223	0.886874	0.23615	0.468168	0.263078
29	0.744372	0.9969	1.03883	0.266792	0.557754	0.313507
30	0.758716	1.06921	1.1515	0.302479	0.551545	0.309835
