round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.000798	0.001192	0.001457	0.000523	0.001028	0.000569
2	0.0007	0.001601	0.001436	0.000493	0.000975	0.00048
3	0.00064	0.001033	0.001314	0.000424	0.000883	0.00048
4	0.000627	0.001026	0.001174	0.000393	0.000783	0.000429
5	0.000532	0.000954	0.001119	0.000392	0.000782	0.000425
6	0.000529	0.000938	0.001118	0.00039	0.000783	0.000426
7	0.000531	0.000902	0.001021	0.000356	0.000712	0.000388
8	0.000478	0.000847	0.001018	0.000354	0.000714	0.000386
9	0.00048	0.000842	0.001155	0.00036	0.000712	0.000387
10	0.000481	0.000837	0.000942	0.000448	0.001129	0.000626
11	0.000661	0.000711	0.001174	0.00044	0.000657	0.0004
12	0.000496	0.000783	0.000972	0.000373	0.000738	0.00042
13	0.000523	0.000818	0.000976	0.000338	0.0007	0.000363
14	0.00046	0.000773	0.000861	0.000299	0.000603	0.000329
15	0.000436	0.000734	0.00087	0.000303	0.000604	0.000329
16	0.00043	0.000729	0.000869	0.000413	0.000605	0.000335
17	0.000434	0.000707	0.000862	0.0003	0.000596	0.000308
18	0.000383	0.000655	0.000801	0.000281	0.00056	0.000307
19	0.000387	0.000655	0.000797	0.000302	0.000635	0.000414
20	0.000431	0.000739	0.000805	0.000275	0.000647	0.000463
21	0.000498	0.000665	0.000823	0.000264	0.000532	0.000311
22	0.000389	0.000635	0.00077	0.000268	0.000549	0.000287
23	0.000356	0.000615	0.000744	0.000261	0.00052	0.000282
24	0.000357	0.000622	0.000751	0.00026	0.000522	0.000287
25	0.000352	0.000609	0.000748	0.000271	0.000497	0.000269
26	0.000333	0.000575	0.000703	0.000246	0.000489	0.000268
27	0.000337	0.000584	0.000701	0.000246	0.00049	0.000266
28	0.000335	0.000577	0.000704	0.000251	0.000491	0.000266
29	0.000332	0.000573	0.000701	0.000244	0.000489	0.000268
30	0.000348	0.000569	0.000661	0.000231	0.000461	0.000253
