round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.602735	0.555949	0.559406	0.16591	0.164018	0.168372
2	0.557498	0.562553	0.567775	0.16166	0.166589	0.166731
3	0.556286	0.550572	0.571704	0.16206	0.163867	0.166246
4	0.563747	0.550426	0.562674	0.166757	0.16417	0.166023
5	0.551543	0.558345	0.567262	0.161479	0.163664	0.171276
6	0.550286	0.552045	0.561287	0.162007	0.175764	0.167293
7	0.55126	0.553419	0.559514	0.171255	0.163675	0.166761
8	0.556494	0.566914	0.574339	0.161553	0.163639	0.166189
9	0.563545	0.550984	0.572528	0.161414	0.164141	0.166216
10	0.564186	0.550322	0.565907	0.16142	0.163794	0.168028
11	0.550938	0.560111	0.558868	0.161996	0.165511	0.16881
12	0.551202	0.553688	0.559273	0.164405	0.171626	0.167035
13	0.551485	0.560869	0.560858	0.163171	0.163894	0.166328
14	0.55867	0.554243	0.568842	0.161527	0.164759	0.16714
15	0.555354	0.551189	0.56669	0.161605	0.163719	0.166797
16	0.561127	0.55059	0.565519	0.162334	0.163702	0.169356
17	0.551006	0.560876	0.560201	0.161517	0.172102	0.170017
18	0.551761	0.561711	0.559051	0.165769	0.170506	0.16615
19	0.551195	0.556278	0.563579	0.168226	0.164174	0.166151
20	0.558778	0.554159	0.565452	0.161448	0.163668	0.168498
21	0.572547	0.56747	0.571745	0.161975	0.163715	0.166454
22	0.561561	0.553726	0.560531	0.161514	0.163706	0.174535
23	0.551517	0.561273	0.559205	0.161528	0.171707	0.17584
24	0.551793	0.560865	0.559169	0.170594	0.166167	0.166248
25	0.550957	0.561318	0.569076	0.162506	0.163728	0.167257
26	0.562716	0.550556	0.570614	0.162606	0.165017	0.166245
27	0.560211	0.550671	0.581373	0.169482	0.163721	0.1673
28	0.552816	0.554455	0.559311	0.161628	0.163684	0.176655
29	0.550992	0.558363	0.5594	0.161566	0.168366	0.166676
30	0.551508	0.558832	0.559028	0.171846	0.163601	0.169819
