round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.001219	0.001192	0.001223	0.000695	0.000694	0.000758
2	0.001053	0.001006	0.001051	0.00059	0.000611	0.000637
3	0.001006	0.001006	0.001049	0.000602	0.000579	0.000631
4	0.001002	0.001006	0.000993	0.00053	0.000526	0.000574
5	0.000907	0.000916	0.000946	0.000528	0.000521	0.000573
6	0.000907	0.000911	0.000943	0.000526	0.000524	0.000566
7	0.000904	0.000816	0.000859	0.000483	0.000473	0.000516
8	0.000833	0.000821	0.000857	0.000479	0.000477	0.000528
9	0.000849	0.000771	0.000792	0.000445	0.000436	0.000535
10	0.000788	0.00079	0.000832	0.000453	0.000471	0.000484
11	0.000821	0.000755	0.000746	0.000415	0.000404	0.000444
12	0.000706	0.000732	0.000723	0.00041	0.000401	0.000439
13	0.000698	0.000743	0.00076	0.000425	0.000406	0.000633
14	0.000761	0.000702	0.000738	0.000417	0.000378	0.00041
15	0.000681	0.00071	0.000677	0.000393	0.000377	0.000501
16	0.000745	0.000675	0.000718	0.000408	0.000399	0.000459
17	0.000553	0.000648	0.000706	0.000379	0.000376	0.000406
18	0.000688	0.000602	0.000628	0.000355	0.000346	0.000404
19	0.000611	0.000602	0.000636	0.000352	0.00035	0.000379
20	0.000615	0.000602	0.00063	0.000355	0.000357	0.000381
21	0.000613	0.000598	0.000625	0.000354	0.000347	0.00038
22	0.000624	0.000562	0.000589	0.000331	0.000325	0.000354
23	0.000584	0.000567	0.000716	0.000371	0.000319	0.000323
24	0.000498	0.000596	0.000636	0.000336	0.000332	0.000382
25	0.00059	0.000584	0.000613	0.000337	0.000337	0.000368
26	0.000587	0.000553	0.000378	0.00021	0.00021	0.000228
27	0.000384	0.000364	0.000377	0.000211	0.000209	0.000227
28	0.000378	0.00036	0.000381	0.000211	0.000211	0.000227
29	0.00038	0.000361	0.000376	0.000212	0.00021	0.000227
30	0.000378	0.00036	0.000373	0.000212	0.000214	0.000227
