round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.006624	0.006703	0.006687	0.002829	0.003613	0.003004
2	0.004749	0.005366	0.003839	0.001262	0.001582	0.001177
3	0.001929	0.002236	0.002542	0.00114	0.001361	0.001163
4	0.002001	0.002276	0.002836	0.001228	0.0014	0.00111
5	0.00195	0.002201	0.002347	0.001026	0.001308	0.001166
6	0.001945	0.002211	0.002348	0.001337	0.001488	0.001295
7	0.002095	0.002216	0.002311	0.001027	0.001313	0.001097
8	0.002279	0.002377	0.002489	0.00111	0.001425	0.001197
9	0.001916	0.002203	0.002313	0.001198	0.00168	0.001267
10	0.002137	0.002252	0.002274	0.001069	0.001345	0.0011
11	0.00193	0.002205	0.002282	0.001028	0.00131	0.001098
12	0.001934	0.002199	0.002298	0.001062	0.001541	0.001355
13	0.002294	0.002365	0.002291	0.001038	0.001323	0.001174
14	0.001947	0.002211	0.002273	0.00103	0.001317	0.001109
15	0.001969	0.0022	0.002277	0.001151	0.001557	0.001263
16	0.002292	0.002273	0.002329	0.001032	0.00132	0.001138
17	0.002062	0.002204	0.002273	0.001032	0.001318	0.001104
18	0.001953	0.002207	0.002274	0.00103	0.001569	0.001188
19	0.002152	0.002355	0.00229	0.001035	0.001348	0.001123
20	0.002017	0.002206	0.002374	0.001039	0.001321	0.001113
21	0.001942	0.002232	0.002274	0.001031	0.001317	0.001394
22	0.002103	0.00229	0.002369	0.001036	0.001317	0.001123
23	0.002014	0.00221	0.002315	0.001083	0.001308	0.001103
24	0.001955	0.002202	0.002282	0.00103	0.001306	0.001106
25	0.002465	0.00248	0.002506	0.001032	0.00132	0.001101
26	0.001971	0.002244	0.003278	0.001147	0.001438	0.001192
27	0.002092	0.002379	0.002468	0.001112	0.001424	0.001405
28	0.002172	0.002354	0.00239	0.001039	0.001324	0.001181
29	0.001966	0.002209	0.002363	0.001034	0.001318	0.001103
30	0.002042	0.002202	0.002289	0.00103	0.001319	0.001105
