round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.00018	0.000109	0.000145	9.1e-05	8.7e-05	9.5e-05
2	0.000113	9.7e-05	0.000146	8.9e-05	7.1e-05	8.2e-05
3	0.000121	9.1e-05	0.000104	6.5e-05	6.5e-05	7.6e-05
4	0.000117	9.1e-05	0.000106	6.7e-05	6.8e-05	8.1e-05
5	0.000121	9.1e-05	0.000104	8.2e-05	5.7e-05	7.1e-05
6	8.7e-05	8e-05	9.1e-05	6e-05	6.2e-05	6.5e-05
7	8.6e-05	0.000106	9.6e-05	6.7e-05	6.4e-05	8e-05
8	0.000124	9.5e-05	0.000105	6.8e-05	6.9e-05	8.1e-05
9	0.000158	8.4e-05	9.2e-05	6.1e-05	6.1e-05	7.3e-05
10	8.6e-05	6e-05	6.4e-05	5.9e-05	5.9e-05	7.2e-05
11	8.6e-05	8.4e-05	9.2e-05	6.1e-05	6.1e-05	7e-05
12	8.6e-05	8.1e-05	9.2e-05	6e-05	6e-05	7e-05
13	8.4e-05	8.2e-05	9.1e-05	6e-05	5.7e-05	6.7e-05
14	8.7e-05	8.4e-05	9.1e-05	6.1e-05	6e-05	6.9e-05
15	8.7e-05	8.2e-05	9.4e-05	6.2e-05	6.3e-05	7.7e-05
16	9.2e-05	8.5e-05	9.3e-05	6.4e-05	4.8e-05	0.00012
17	5.9e-05	7.6e-05	8.3e-05	4.1e-05	3.8e-05	4.3e-05
18	7.5e-05	7.7e-05	6.7e-05	3.8e-05	3.7e-05	4.1e-05
19	9.5e-05	8e-05	9.5e-05	6.7e-05	6.2e-05	7.1e-05
20	8.7e-05	8.8e-05	9.5e-05	6.1e-05	6.1e-05	7.1e-05
21	0.000112	8e-05	9.2e-05	6.2e-05	6.1e-05	6.9e-05
22	0.000115	8.2e-05	8.8e-05	6e-05	6e-05	7.3e-05
23	8.4e-05	7.9e-05	8.9e-05	6.4e-05	6e-05	7.1e-05
24	8.4e-05	7.9e-05	0.000147	5.3e-05	5.3e-05	6.2e-05
25	7.6e-05	7.3e-05	8.5e-05	5.7e-05	5.6e-05	6.4e-05
26	7.5e-05	7.5e-05	8.5e-05	5.6e-05	5.4e-05	6.1e-05
27	7.7e-05	7.3e-05	8.5e-05	5.3e-05	5.3e-05	6.5e-05
28	8e-05	7.5e-05	8.2e-05	5.6e-05	5.4e-05	6.5e-05
29	7.8e-05	7.3e-05	8.3e-05	5.5e-05	5.2e-05	6.6e-05
30	7.7e-05	7.5e-05	8.6e-05	5.5e-05	5.6e-05	6.3e-05
