round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.003493	0.003919	0.003514	0.001648	0.001701	0.001824
2	0.003066	0.002955	0.003005	0.001448	0.001457	0.00163
3	0.002766	0.00261	0.002716	0.001331	0.001337	0.001496
4	0.002524	0.00241	0.002494	0.001063	0.001116	0.000992
5	0.001168	0.000965	0.000926	0.000537	0.000418	0.000455
6	0.000882	0.000824	0.000871	0.000415	0.000453	0.000443
7	0.000857	0.000821	0.000831	0.000417	0.000454	0.000649
8	0.001108	0.0009	0.000865	0.000414	0.000462	0.000484
9	0.000925	0.00096	0.000974	0.000427	0.000416	0.000447
10	0.000936	0.000823	0.000861	0.000412	0.000436	0.000438
11	0.000854	0.000821	0.000839	0.000411	0.000439	0.000437
12	0.000856	0.000823	0.000837	0.000411	0.000406	0.000439
13	0.00086	0.000827	0.000841	0.00041	0.000407	0.000438
14	0.000857	0.000825	0.000832	0.000414	0.000405	0.000439
15	0.000854	0.000826	0.000834	0.000415	0.000406	0.000436
16	0.001157	0.000918	0.000941	0.000488	0.000421	0.000453
17	0.000921	0.000973	0.000974	0.00045	0.000432	0.000441
18	0.000862	0.000824	0.000835	0.000415	0.000411	0.000442
19	0.000885	0.000833	0.000835	0.000411	0.000409	0.000437
20	0.000856	0.000866	0.00083	0.00044	0.000409	0.000439
21	0.000848	0.000823	0.000827	0.000415	0.000409	0.000437
22	0.000855	0.000825	0.000837	0.000411	0.000422	0.000437
23	0.000856	0.000822	0.000833	0.00041	0.000413	0.000438
24	0.001162	0.000948	0.00101	0.000934	0.000699	0.000721
25	0.00103	0.000902	0.000898	0.000444	0.000438	0.000452
26	0.000862	0.000834	0.000837	0.000409	0.000406	0.000436
27	0.000859	0.000863	0.000829	0.00041	0.000405	0.000437
28	0.000861	0.000843	0.000848	0.000409	0.000407	0.000439
29	0.000856	0.000823	0.000838	0.000411	0.000406	0.000437
30	0.000855	0.000823	0.000842	0.00041	0.000407	0.000436
