round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.003048	0.009714	0.007177	0.001186	0.005643	0.001242
2	0.001649	0.006426	0.006379	0.00112	0.00432	0.000835
3	0.001005	0.00363	0.003684	0.000653	0.003288	0.000729
4	0.001021	0.003913	0.004115	0.000677	0.003313	0.000729
5	0.001115	0.003918	0.004001	0.000711	0.003546	0.000791
6	0.001007	0.003623	0.00383	0.000758	0.003855	0.000858
7	0.001013	0.003656	0.003717	0.000654	0.003435	0.000809
8	0.00108	0.00405	0.004052	0.000715	0.003735	0.000783
9	0.001228	0.00377	0.00374	0.000653	0.003321	0.000736
10	0.001129	0.003887	0.003724	0.000695	0.003289	0.000762
11	0.001019	0.004027	0.004094	0.000658	0.003337	0.000733
12	0.001016	0.003626	0.003715	0.000656	0.003377	0.000728
13	0.00102	0.003693	0.004041	0.000667	0.003675	0.000761
14	0.001018	0.003665	0.00373	0.000651	0.00329	0.00073
15	0.001011	0.003777	0.003685	0.00065	0.003351	0.000925
16	0.001113	0.004088	0.003796	0.00066	0.003296	0.000731
17	0.001004	0.003615	0.003682	0.00065	0.003286	0.000729
18	0.00102	0.003929	0.004059	0.000699	0.00339	0.000737
19	0.001014	0.003623	0.003692	0.000647	0.003282	0.000726
20	0.00101	0.003619	0.003709	0.000744	0.003788	0.000776
21	0.001075	0.003677	0.003741	0.000657	0.003282	0.000767
22	0.001009	0.003622	0.003684	0.00065	0.003314	0.000727
23	0.001113	0.004095	0.003869	0.000655	0.003392	0.000732
24	0.001017	0.003704	0.003817	0.00074	0.003704	0.000791
25	0.001007	0.003763	0.004299	0.000677	0.003399	0.00073
26	0.001058	0.003725	0.003681	0.00066	0.003279	0.000731
27	0.001015	0.003621	0.00368	0.000643	0.003779	0.000772
28	0.001041	0.003648	0.003686	0.000649	0.003424	0.000724
29	0.001019	0.003613	0.00371	0.000656	0.003279	0.000728
30	0.001016	0.004211	0.003843	0.000651	0.003296	0.000733
