round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.000103	5.2e-05	6.7e-05	4.9e-05	4.3e-05	4e-05
2	3.8e-05	5.2e-05	4.1e-05	2.8e-05	2.9e-05	3e-05
3	7.7e-05	3.5e-05	3.8e-05	2.7e-05	2.8e-05	2.9e-05
4	4.6e-05	3.4e-05	3.8e-05	2.6e-05	2.9e-05	2.8e-05
5	4.1e-05	3.5e-05	3.8e-05	2.7e-05	2.8e-05	2.9e-05
6	7.2e-05	3.5e-05	3.8e-05	2.6e-05	2.8e-05	2.9e-05
7	4e-05	3.4e-05	3.8e-05	2.5e-05	2.8e-05	2.9e-05
8	3.9e-05	3.5e-05	3.8e-05	2.6e-05	2.8e-05	4.5e-05
9	3.4e-05	3e-05	3.4e-05	2.3e-05	2.4e-05	2.6e-05
10	3.3e-05	3.1e-05	3.3e-05	2.4e-05	2.4e-05	2.7e-05
11	3.3e-05	3e-05	3.4e-05	2.3e-05	2.5e-05	2.5e-05
12	3.3e-05	3.1e-05	3.5e-05	2.3e-05	2.4e-05	2.6e-05
13	4.4e-05	3.2e-05	3.5e-05	2.4e-05	2.6e-05	4e-05
14	3.9e-05	3.4e-05	3.8e-05	2.7e-05	2.8e-05	2.9e-05
15	3.9e-05	3.4e-05	3.8e-05	2.6e-05	2.8e-05	2.8e-05
16	3.8e-05	3.4e-05	3.8e-05	2.6e-05	2.8e-05	2.9e-05
17	3.9e-05	3.4e-05	3.7e-05	2.7e-05	2.8e-05	2.9e-05
18	3.7e-05	3.5e-05	3.8e-05	2.7e-05	2.8e-05	2.9e-05
19	3.8e-05	3.5e-05	3.7e-05	2.7e-05	2.7e-05	2.9e-05
20	3.9e-05	3.5e-05	3.8e-05	2.6e-05	2.8e-05	2.9e-05
21	3.8e-05	3.5e-05	3.8e-05	2.6e-05	2.8e-05	2.9e-05
22	3.7e-05	3.4e-05	3.8e-05	2.6e-05	2.8e-05	3e-05
23	3.8e-05	3.4e-05	3.9e-05	2.6e-05	2.8e-05	2.9e-05
24	3.8e-05	3.4e-05	3.8e-05	2.7e-05	2.8e-05	2.8e-05
25	3.8e-05	3.5e-05	3.8e-05	2.6e-05	2.9e-05	2.8e-05
26	3.9e-05	3.4e-05	3.8e-05	2.6e-05	2.8e-05	2.9e-05
27	3.7e-05	3.4e-05	3.7e-05	2.7e-05	2.8e-05	2.9e-05
28	3.7e-05	3.4e-05	3.8e-05	2.6e-05	2.8e-05	2.8e-05
29	6.2e-05	3.5e-05	3.8e-05	2.6e-05	2.8e-05	5.8e-05
30	3.7e-05	3e-05	3.4e-05	2.5e-05	2.5e-05	2.6e-05
