round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	6e-06	2e-06	1e-06	0.008718	0.070472	0.002761
2	1e-06	0	1e-06	0.002474	0.0458	0.002723
3	2e-06	0	1e-06	0.002482	0.046107	0.002775
4	1.3e-05	1e-06	0	0.002482	0.045138	0.002727
5	1e-06	1e-06	0	0.002503	0.045674	0.002735
6	1e-06	1.2e-05	1e-06	0.002475	0.044988	0.002727
7	1e-06	1e-06	0	0.002496	0.045548	0.002711
8	1.4e-05	0	1e-06	0.002472	0.045144	0.002706
9	0	1e-06	1e-06	0.002485	0.045918	0.002723
10	1e-06	0	1e-06	0.002515	0.045446	0.002945
11	1e-06	0	0	0.002639	0.046105	0.002714
12	1.4e-05	0	1e-06	0.002482	0.045048	0.002716
13	1e-06	1e-06	0	0.002489	0.045389	0.00273
14	1.3e-05	1e-06	0	0.002477	0.045064	0.002711
15	0	1e-06	0	0.002484	0.046203	0.002723
16	1.3e-05	0	1e-06	0.00247	0.045967	0.002727
17	1e-06	1e-06	1.3e-05	0.002483	0.045587	0.002774
18	1.3e-05	1e-06	0	0.00248	0.04512	0.002734
19	1e-06	1.2e-05	1e-06	0.002474	0.045591	0.002737
20	1e-06	1.3e-05	0	0.002487	0.045552	0.00273
21	1.3e-05	1e-06	1e-06	0.002484	0.046706	0.002948
22	1e-06	1e-06	0	0.002475	0.045098	0.002728
23	0	1e-06	1.3e-05	0.002468	0.045464	0.002726
24	1e-06	1e-06	1.3e-05	0.002467	0.045048	0.002731
25	1e-06	0	1e-06	0.002488	0.045666	0.002726
26	1e-06	0	1.3e-05	0.002475	0.045074	0.002722
27	1e-06	0	1.3e-05	0.002487	0.045524	0.002735
28	1e-06	1.3e-05	1e-06	0.002474	0.045188	0.002724
29	1e-06	1.3e-05	0	0.002474	0.046053	0.002726
30	1e-06	1.3e-05	0	0.002468	0.046809	0.002936
