round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.000208	0.000195	0.000215	0.000124	0.000168	0.000132
2	0.00016	0.000172	0.000181	0.000107	0.000138	0.00012
3	0.000149	0.000171	0.000181	0.000108	0.000138	0.000178
4	0.000132	0.000153	0.00016	9.4e-05	0.000123	0.000105
5	0.000129	0.000154	0.000158	9.4e-05	0.000123	0.000106
6	0.000131	0.000149	0.000159	9.6e-05	0.000123	0.000105
7	0.00013	0.000151	0.000161	9.6e-05	0.000144	0.000158
8	0.000173	0.000219	0.000273	0.000152	0.000145	0.000107
9	0.000124	0.00015	0.000158	9.5e-05	0.000123	0.000104
10	0.000124	0.00015	0.000158	9.5e-05	0.000123	0.000105
11	0.000122	0.000152	0.000158	9.4e-05	0.000122	0.000106
12	0.000122	0.000151	0.000157	9.5e-05	0.00016	0.000106
13	0.000122	0.000219	0.000161	9.7e-05	0.000125	0.000105
14	0.000152	0.000152	0.000159	9.5e-05	0.000124	0.000105
15	0.000151	0.000151	0.000157	9.6e-05	0.000123	0.000105
16	0.000152	0.000151	0.0002	8.5e-05	0.000131	0.000107
17	0.000152	0.00015	0.000159	9.6e-05	0.000123	0.000104
18	0.000113	0.000134	0.000144	8.4e-05	0.00011	9.4e-05
19	0.00011	0.000135	0.000141	8.7e-05	0.00011	9.5e-05
20	0.00011	0.000136	0.000141	8.4e-05	0.00011	9.4e-05
21	0.000108	0.000136	0.000142	8.5e-05	0.00011	9.4e-05
22	0.000109	0.000135	0.000141	8.5e-05	0.00011	9.4e-05
23	0.000111	0.000137	0.000142	0.000103	0.000111	9.5e-05
24	0.000111	0.000137	0.000143	8.5e-05	0.00011	9.4e-05
25	0.000108	0.000136	0.000141	8.5e-05	0.000109	9.3e-05
26	0.000109	0.000135	0.000142	8.5e-05	0.00011	9.4e-05
27	0.00011	0.000136	0.000142	8.5e-05	0.00011	9.3e-05
28	0.00011	0.000135	0.000142	8.6e-05	0.00011	9.3e-05
29	0.000108	0.000144	0.000143	8.5e-05	0.000111	9.4e-05
30	0.000111	0.000135	0.000141	8.4e-05	0.00011	9.4e-05
