round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	5e-06	2e-06	2e-06	1.89992	11.7027	1.90248
2	1e-06	0	1e-06	1.81755	11.7617	1.92928
3	1e-06	1e-06	1e-06	1.87749	11.7505	1.89831
4	1e-06	0	1e-06	1.81465	11.7168	1.92094
5	0	1e-06	1e-06	1.82688	11.8417	1.88975
6	1e-06	0	1e-06	1.80926	11.6933	1.88249
7	0	1e-06	0	1.81937	11.7279	1.90889
8	1e-06	0	1e-06	1.81357	11.6774	1.87942
9	1e-06	1e-06	1e-06	1.82115	11.6828	1.90935
10	1e-06	0	1e-06	1.82356	11.6831	1.88794
11	1e-06	0	1e-06	1.80496	11.8001	1.91222
12	0	1e-06	0	1.91864	12.8812	1.9834
13	1e-06	0	1e-06	1.87612	12.2993	1.96544
14	1e-06	0	0	1.87794	12.1461	2.00027
15	1e-06	1e-06	0	1.89642	12.7437	1.96703
16	1e-06	0	1e-06	1.90189	12.134	1.89687
17	1e-06	0	1e-06	1.81817	12.0379	1.98732
18	1e-06	0	1e-06	1.88566	12.1291	1.958
19	1e-06	0	1e-06	1.86032	12.091	1.92967
20	1e-06	1e-06	0	1.82802	11.7813	1.91696
21	1e-06	0	0	1.81463	11.6725	1.88635
22	0	1e-06	0	1.81694	11.6822	1.88595
23	1e-06	0	1e-06	1.8203	11.6852	1.88485
24	0	1e-06	0	1.81929	11.7804	1.92363
25	1e-06	0	0	1.82225	11.6915	1.88457
26	1e-06	0	1e-06	1.81831	11.7384	1.88848
27	1e-06	0	0	1.87054	12.078	1.95105
28	0	1e-06	0	1.86667	12.2106	1.9297
29	1e-06	1e-06	0	1.87957	12.5023	2.01708
30	1e-06	1e-06	0	1.92225	12.0678	1.95084
