round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.057714	0.036446	0.037159	0.013769	0.014176	0.014666
2	0.036513	0.036299	0.037109	0.013812	0.014138	0.014577
3	0.036313	0.036316	0.037049	0.013746	0.014136	0.014537
4	0.036107	0.036293	0.037142	0.014067	0.014257	0.014521
5	0.036618	0.037565	0.037049	0.014749	0.015283	0.015698
6	0.03788	0.036334	0.037092	0.013751	0.014122	0.01453
7	0.036469	0.036464	0.037053	0.013756	0.014028	0.014532
8	0.03658	0.037132	0.037517	0.013817	0.014129	0.014586
9	0.037146	0.036277	0.037285	0.013773	0.014139	0.014538
10	0.036272	0.036291	0.038229	0.013857	0.014238	0.014665
11	0.036534	0.037348	0.037099	0.013789	0.014146	0.014563
12	0.036515	0.037919	0.037535	0.013743	0.014123	0.01508
13	0.036658	0.036277	0.037175	0.01379	0.014131	0.014548
14	0.036342	0.036366	0.037106	0.013759	0.014152	0.014639
15	0.036559	0.03629	0.037493	0.014813	0.01466	0.014556
16	0.036366	0.036239	0.03851	0.013772	0.014136	0.014582
17	0.036535	0.03632	0.037531	0.013925	0.014206	0.014525
18	0.036154	0.039007	0.037103	0.014049	0.015272	0.015752
19	0.036998	0.036223	0.037084	0.013756	0.014025	0.014549
20	0.03682	0.036706	0.037114	0.013744	0.014013	0.014573
21	0.036395	0.03634	0.037164	0.015192	0.014235	0.014557
22	0.036561	0.036353	0.037243	0.013787	0.014121	0.014615
23	0.036356	0.036228	0.037037	0.013736	0.014028	0.014544
24	0.03676	0.037309	0.037104	0.013752	0.01403	0.014557
25	0.036405	0.038181	0.039994	0.014843	0.015148	0.015377
26	0.036254	0.036227	0.037133	0.013807	0.014223	0.016108
27	0.036559	0.036188	0.037094	0.013751	0.014154	0.014641
28	0.036295	0.036921	0.037123	0.013678	0.01401	0.014576
29	0.037079	0.036249	0.037065	0.013766	0.014122	0.014526
30	0.036225	0.036228	0.037289	0.013756	0.014165	0.014527
