round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.016876	0.025638	0.011488	0.003256	0.00957	0.003194
2	0.00549	0.012055	0.011292	0.002938	0.00819	0.003186
3	0.006022	0.011086	0.010991	0.00294	0.008275	0.003174
4	0.005481	0.011511	0.011319	0.003322	0.008337	0.003169
5	0.005471	0.011218	0.011352	0.002942	0.008184	0.003169
6	0.005799	0.011217	0.011005	0.002953	0.008222	0.003173
7	0.005466	0.011399	0.011168	0.003341	0.008531	0.003257
8	0.005485	0.01124	0.011355	0.002973	0.00824	0.003173
9	0.005833	0.01122	0.011038	0.002945	0.008212	0.00317
10	0.005469	0.011511	0.011118	0.00324	0.008707	0.003429
11	0.005547	0.011396	0.011282	0.002943	0.008295	0.003173
12	0.005903	0.011058	0.010944	0.00294	0.008211	0.003169
13	0.00546	0.011546	0.011185	0.003326	0.008329	0.003162
14	0.005461	0.01121	0.011372	0.002942	0.008181	0.003173
15	0.005793	0.01124	0.010944	0.002937	0.008222	0.003172
16	0.005503	0.011507	0.011215	0.003293	0.008291	0.003222
17	0.005458	0.011219	0.011348	0.002974	0.008249	0.003167
18	0.00581	0.011166	0.011087	0.002942	0.008219	0.003165
19	0.005868	0.011989	0.01157	0.003046	0.00839	0.00321
20	0.005707	0.011302	0.011351	0.002982	0.008398	0.003425
21	0.00617	0.011116	0.010994	0.002939	0.008223	0.003168
22	0.005477	0.011484	0.011106	0.003331	0.008403	0.003177
23	0.005509	0.011299	0.01128	0.002936	0.008185	0.003181
24	0.005783	0.011236	0.01094	0.002936	0.008217	0.003169
25	0.005467	0.011384	0.011185	0.003282	0.008401	0.00317
26	0.005463	0.011173	0.011563	0.002996	0.008218	0.003218
27	0.005642	0.011371	0.011029	0.002943	0.008301	0.003169
28	0.0055	0.011399	0.011173	0.003248	0.008307	0.003215
29	0.005536	0.011455	0.011161	0.002976	0.008244	0.003177
30	0.005805	0.01122	0.011046	0.00294	0.008223	0.003175
