round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.000136	7.1e-05	9.4e-05	5.2e-05	5.5e-05	0.000128
2	6.5e-05	6.2e-05	6.6e-05	4e-05	4.8e-05	4.5e-05
3	5.6e-05	6e-05	6.6e-05	3.9e-05	4.8e-05	4.4e-05
4	5.6e-05	6.1e-05	6.4e-05	3.9e-05	4.8e-05	4.4e-05
5	5.6e-05	6.1e-05	6.5e-05	3.9e-05	4.8e-05	4.4e-05
6	5.7e-05	5.9e-05	6.5e-05	3.9e-05	4.8e-05	4.4e-05
7	5.6e-05	6.1e-05	6.5e-05	4e-05	4.7e-05	4.4e-05
8	5.5e-05	6.2e-05	6.5e-05	4.1e-05	4.8e-05	4.3e-05
9	5.6e-05	5.9e-05	6.4e-05	3.9e-05	4.8e-05	4.3e-05
10	6.5e-05	6e-05	6.4e-05	3.9e-05	4.8e-05	4.4e-05
11	5.3e-05	6.7e-05	5.9e-05	3.6e-05	4.4e-05	4.1e-05
12	5e-05	5.5e-05	5.9e-05	3.6e-05	4.4e-05	4e-05
13	4.9e-05	5.6e-05	7.1e-05	6.4e-05	4.5e-05	4.1e-05
14	5.1e-05	5.6e-05	6e-05	3.6e-05	4.4e-05	4.1e-05
15	5e-05	5.6e-05	6e-05	3.6e-05	4.4e-05	4.1e-05
16	5e-05	5.6e-05	5.9e-05	3.7e-05	4.4e-05	4e-05
17	5e-05	5.6e-05	5.9e-05	3.6e-05	4.4e-05	4.1e-05
18	5e-05	5.6e-05	5.9e-05	3.7e-05	4.5e-05	4e-05
19	4.9e-05	5.5e-05	5.9e-05	3.6e-05	4.4e-05	4e-05
20	5e-05	5.5e-05	5.9e-05	3.6e-05	4.4e-05	4.1e-05
21	4.9e-05	5.5e-05	5.9e-05	3.6e-05	4.4e-05	4.1e-05
22	5.4e-05	6.7e-05	5.9e-05	3.7e-05	4.4e-05	4.1e-05
23	5e-05	5.5e-05	5.9e-05	3.6e-05	4.4e-05	4e-05
24	5e-05	5.6e-05	7.4e-05	4e-05	4.6e-05	4.4e-05
25	5.3e-05	5.9e-05	6.4e-05	4.8e-05	6.9e-05	6.5e-05
26	6.4e-05	9.5e-05	9.7e-05	5.9e-05	8.9e-05	6.5e-05
27	6.7e-05	6.1e-05	7.1e-05	3.6e-05	4.4e-05	4e-05
28	6.5e-05	7e-05	8.1e-05	4.9e-05	4.4e-05	4e-05
29	6.6e-05	7.1e-05	5.9e-05	3.7e-05	4.4e-05	4.1e-05
30	6.6e-05	7.1e-05	6e-05	3.6e-05	4.4e-05	4.1e-05
