round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.000138	9.2e-05	0.000111	6.9e-05	6.3e-05	6.9e-05
2	9.3e-05	7.7e-05	8.9e-05	9.4e-05	9.4e-05	8.8e-05
3	0.000111	0.00011	0.000124	7.6e-05	7.7e-05	8.9e-05
4	8.6e-05	7.9e-05	0.000128	5.8e-05	6e-05	5.2e-05
5	7.7e-05	7e-05	7.6e-05	4.8e-05	4.8e-05	5.1e-05
6	7.5e-05	7.1e-05	7.5e-05	4.7e-05	4.8e-05	5.1e-05
7	7.5e-05	7.1e-05	7.4e-05	4.8e-05	4.8e-05	5e-05
8	7.5e-05	7e-05	7.4e-05	4.8e-05	4.8e-05	5.1e-05
9	7.7e-05	7.1e-05	7.4e-05	4.7e-05	4.8e-05	5.1e-05
10	7.7e-05	7e-05	7.4e-05	4.8e-05	4.7e-05	5.1e-05
11	7.6e-05	7.1e-05	7.4e-05	4.8e-05	4.8e-05	5.1e-05
12	8.1e-05	7.1e-05	7.4e-05	4.7e-05	4.8e-05	6.6e-05
13	0.0001	9.9e-05	0.000111	5.5e-05	5e-05	9.4e-05
14	0.000101	0.000102	0.000107	7.2e-05	7.1e-05	8e-05
15	8e-05	7.2e-05	7.6e-05	4.8e-05	4.9e-05	5.2e-05
16	7.7e-05	7.1e-05	7.5e-05	4.9e-05	4.9e-05	5.1e-05
17	7.8e-05	7e-05	7.5e-05	4.8e-05	4.8e-05	5.2e-05
18	7.6e-05	6.9e-05	7.3e-05	4.8e-05	4.9e-05	5.1e-05
19	7.8e-05	7e-05	7.4e-05	4.7e-05	4.9e-05	5e-05
20	7.5e-05	7e-05	7.4e-05	4.8e-05	4.7e-05	5.1e-05
21	7.7e-05	7e-05	7.6e-05	4.7e-05	4.8e-05	5.1e-05
22	7.5e-05	7e-05	7.4e-05	4.7e-05	4.8e-05	5.1e-05
23	7.5e-05	0.00011	6.9e-05	4.3e-05	4.4e-05	4.7e-05
24	7e-05	7.3e-05	6.9e-05	4.4e-05	4.3e-05	4.8e-05
25	6.9e-05	6.3e-05	6.8e-05	4.3e-05	4.3e-05	4.6e-05
26	6.8e-05	6.4e-05	6.9e-05	4.3e-05	4.3e-05	4.7e-05
27	6.9e-05	6.3e-05	6.8e-05	4.4e-05	4.5e-05	4.7e-05
28	6.9e-05	6.4e-05	7e-05	4.4e-05	4.3e-05	4.6e-05
29	6.7e-05	6.4e-05	6.8e-05	4.3e-05	4.4e-05	4.6e-05
30	6.8e-05	6.5e-05	6.9e-05	4.4e-05	4.4e-05	4.7e-05
