round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	6.9e-05	4.6e-05	4.8e-05	2.7e-05	2.9e-05	2.8e-05
2	3.6e-05	3.4e-05	2.8e-05	1.9e-05	2e-05	2e-05
3	2.9e-05	2.4e-05	2.7e-05	1.8e-05	1.9e-05	2e-05
4	2.9e-05	2.4e-05	2.6e-05	1.8e-05	1.9e-05	1.9e-05
5	2.8e-05	2.4e-05	2.7e-05	1.8e-05	1.9e-05	2e-05
6	2.8e-05	2.4e-05	2.6e-05	1.8e-05	1.9e-05	2e-05
7	2.8e-05	2.4e-05	2.7e-05	1.7e-05	2e-05	2.1e-05
8	3e-05	2.4e-05	2.7e-05	1.7e-05	1.9e-05	2e-05
9	2.9e-05	2.5e-05	2.7e-05	1.8e-05	1.9e-05	2e-05
10	2.8e-05	2.4e-05	2.6e-05	1.8e-05	1.9e-05	1.9e-05
11	3.2e-05	2.3e-05	6.3e-05	1.8e-05	1.9e-05	2e-05
12	2.9e-05	2.4e-05	2.7e-05	1.8e-05	1.9e-05	2e-05
13	2.8e-05	2.4e-05	2.6e-05	1.8e-05	1.8e-05	2e-05
14	2.9e-05	2.3e-05	2.6e-05	1.7e-05	1.9e-05	2e-05
15	3.2e-05	2.4e-05	2.6e-05	1.7e-05	1.9e-05	2e-05
16	2.9e-05	2.3e-05	2.7e-05	1.8e-05	1.8e-05	2e-05
17	2.9e-05	2.3e-05	2.6e-05	1.7e-05	1.9e-05	2e-05
18	2.9e-05	2.4e-05	2.6e-05	1.8e-05	1.8e-05	2e-05
19	3e-05	2.4e-05	2.7e-05	1.8e-05	2e-05	2e-05
20	3.1e-05	2.4e-05	2.6e-05	1.8e-05	2e-05	2.1e-05
21	3e-05	2.4e-05	2.6e-05	1.8e-05	1.9e-05	1.9e-05
22	2.9e-05	2.3e-05	2.7e-05	1.8e-05	1.9e-05	2e-05
23	2.8e-05	2.4e-05	2.7e-05	1.8e-05	1.8e-05	2e-05
24	2.8e-05	2.4e-05	2.6e-05	1.7e-05	1.9e-05	1.9e-05
25	2.8e-05	2.4e-05	2.6e-05	1.8e-05	1.9e-05	1.9e-05
26	2.7e-05	2.3e-05	2.6e-05	1.9e-05	1.9e-05	2e-05
27	2.8e-05	2.4e-05	2.6e-05	1.8e-05	1.9e-05	1.9e-05
28	2.7e-05	2.4e-05	2.6e-05	1.8e-05	1.8e-05	2e-05
29	2.7e-05	2.4e-05	2.6e-05	1.8e-05	1.8e-05	2e-05
30	2.9e-05	2.4e-05	2.6e-05	1.8e-05	1.9e-05	1.9e-05
