round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.005004	0.004641	0.0048	0.002023	0.001988	0.002076
2	0.004106	0.003902	0.003868	0.001757	0.001788	0.001915
3	0.003216	0.00376	0.003705	0.001579	0.001586	0.001573
4	0.003286	0.003204	0.003436	0.001393	0.001534	0.001476
5	0.002922	0.002742	0.002826	0.001291	0.001284	0.001271
6	0.002616	0.002575	0.003154	0.00127	0.00124	0.001283
7	0.002542	0.002423	0.002485	0.001146	0.001143	0.000834
8	0.001565	0.001523	0.001598	0.000716	0.000721	0.000752
9	0.001557	0.001522	0.001572	0.000719	0.000721	0.000751
10	0.001565	0.001943	0.001702	0.000822	0.000749	0.000791
11	0.001656	0.001552	0.001563	0.000722	0.000779	0.000759
12	0.001566	0.001597	0.001572	0.000715	0.000725	0.000761
13	0.001571	0.001516	0.001567	0.000717	0.000726	0.000755
14	0.001569	0.00152	0.001564	0.000795	0.00095	0.000757
15	0.001794	0.001699	0.001624	0.00075	0.000728	0.000755
16	0.001576	0.001528	0.0016	0.000717	0.000726	0.000795
17	0.001564	0.001522	0.001574	0.000719	0.000727	0.000752
18	0.001564	0.00152	0.001565	0.000716	0.000792	0.000753
19	0.001744	0.001864	0.00183	0.000856	0.000828	0.000834
20	0.001617	0.001527	0.001567	0.000717	0.000726	0.000753
21	0.00161	0.001521	0.001611	0.000717	0.000723	0.000757
22	0.001559	0.001514	0.001572	0.000724	0.000722	0.000753
23	0.001562	0.001518	0.001801	0.001027	0.000734	0.000832
24	0.001726	0.001582	0.001595	0.000754	0.000726	0.000756
25	0.00155	0.001527	0.001561	0.000721	0.000776	0.000757
26	0.001564	0.001571	0.001563	0.000717	0.000727	0.000755
27	0.001562	0.001525	0.001559	0.000715	0.000724	0.000756
28	0.001737	0.001867	0.001767	0.000805	0.000749	0.000816
29	0.001582	0.001563	0.001562	0.000717	0.000726	0.000756
30	0.001565	0.001527	0.001608	0.000716	0.000722	0.000809
