round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.000101	5.2e-05	6.5e-05	4.1e-05	4.1e-05	4.1e-05
2	6.3e-05	3.6e-05	4.1e-05	2.9e-05	2.9e-05	3e-05
3	6.6e-05	3.5e-05	3.9e-05	2.7e-05	2.8e-05	3e-05
4	6.4e-05	3.5e-05	3.9e-05	2.7e-05	2.8e-05	3e-05
5	6.9e-05	3.5e-05	3.9e-05	2.7e-05	2.8e-05	2.9e-05
6	6.5e-05	3.6e-05	4e-05	2.7e-05	2.8e-05	3e-05
7	6.2e-05	3.5e-05	3.8e-05	2.7e-05	2.8e-05	2.9e-05
8	6.2e-05	3.4e-05	3.9e-05	2.7e-05	2.8e-05	2.9e-05
9	3.8e-05	3.5e-05	3.9e-05	6.3e-05	4.5e-05	3.1e-05
10	6.4e-05	3.4e-05	4e-05	2.7e-05	2.7e-05	3e-05
11	6.9e-05	3.5e-05	3.8e-05	2.7e-05	2.8e-05	3e-05
12	6.6e-05	3.5e-05	3.8e-05	2.7e-05	2.8e-05	2.8e-05
13	6.9e-05	3.5e-05	4e-05	2.7e-05	2.9e-05	2.9e-05
14	7e-05	3.5e-05	3.8e-05	2.7e-05	2.8e-05	3e-05
15	6.9e-05	3.5e-05	3.8e-05	2.7e-05	2.8e-05	3e-05
16	6.6e-05	3.5e-05	3.9e-05	2.7e-05	2.7e-05	2.9e-05
17	6.7e-05	3.5e-05	3.9e-05	2.7e-05	2.8e-05	3.1e-05
18	6.5e-05	3.4e-05	4e-05	2.7e-05	2.8e-05	2.9e-05
19	6.4e-05	3.6e-05	3.9e-05	2.7e-05	2.8e-05	2.9e-05
20	3.9e-05	3.5e-05	3.9e-05	2.7e-05	2.8e-05	2.9e-05
21	6.8e-05	3.4e-05	3.9e-05	2.7e-05	2.9e-05	2.9e-05
22	6.4e-05	3.6e-05	4e-05	2.7e-05	2.9e-05	2.9e-05
23	6.3e-05	3.5e-05	3.9e-05	2.8e-05	2.7e-05	3e-05
24	6.4e-05	3.5e-05	7.5e-05	3e-05	2.5e-05	2.7e-05
25	3.8e-05	3e-05	3.5e-05	2.3e-05	2.5e-05	2.7e-05
26	3.8e-05	3e-05	3.5e-05	2.4e-05	2.4e-05	2.7e-05
27	3.7e-05	3.1e-05	3.3e-05	2.4e-05	2.5e-05	2.6e-05
28	3.6e-05	3e-05	3.4e-05	2.4e-05	2.4e-05	2.6e-05
29	3.6e-05	3.1e-05	3.4e-05	2.4e-05	2.4e-05	2.6e-05
30	3.6e-05	3e-05	3.5e-05	2.4e-05	2.6e-05	2.6e-05
