round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	89.3175	171.754	173.468	23.5646	105.234	24.4776
2	89.367	172.975	174.775	23.5401	105.58	24.4957
3	89.6475	176.241	185.783	23.7454	112.21	24.7849
4	95.5058	173.585	178.672	24.0884	109.132	25.848
5	92.7678	182.208	184.177	24.7792	114.187	27.0911
6	95.5602	172.473	173.731	23.7696	105.602	24.2117
7	89.1475	171.554	173.993	23.5848	106.411	24.3528
8	90.1146	172.645	172.274	23.6911	105.808	24.505
9	89.4829	172.501	173.261	23.3862	105.19	24.4015
10	89.4559	174.13	174.898	23.876	106.64	24.592
11	88.8276	171.813	175.151	23.5477	105.621	24.4485
12	89.6428	173.193	172.728	23.6161	105.983	24.5461
13	90.5754	173.474	174.959	23.7118	105.614	24.1139
14	89.1129	172.138	172.896	23.5533	105.416	24.3004
15	93.633	173.484	174.283	23.7227	106.868	24.6095
16	90.3137	174.999	179.247	24.5771	109.527	24.5335
17	91.0167	174.568	174.105	26.1634	111.41	24.2836
18	88.7473	175.122	181.868	24.1484	111.114	24.6507
19	89.2359	172.33	173.06	23.4334	105.702	24.3772
20	89.3114	179.396	177.215	23.7567	107.07	24.4388
21	89.6354	174.942	173.497	24.0406	106.499	24.3654
22	90.0007	172.385	173.294	23.8684	106.196	24.3197
23	89.6962	175.707	181.403	27.894	118.59	26.1765
24	92.2398	174.932	176.597	23.9255	107.292	24.5078
25	91.2774	175.142	181.71	24.352	108.793	25.3743
26	90.7005	173.599	177.177	25.7119	107.532	26.2102
27	92.0151	184.44	193.379	27.7463	115.447	45.4348
28	92.896	177.78	188.157	25.9644	130.319	37.2666
29	96.5935	205.99	201.769	25.5169	115.008	26.6115
30	107.213	177	177.206	24.0967	108.834	24.9261
