round	alorithm1	algorithm2	algorithm3	algorithm4	algorithm5	algorithm6
1	0.000178	0.000115	0.00013	8.1e-05	8e-05	8.5e-05
2	0.000127	0.0001	0.000108	6.7e-05	6.9e-05	0.000118
3	0.000116	0.000126	0.000134	8.6e-05	8.7e-05	0.0001
4	0.000126	0.000125	0.000135	8.6e-05	8.7e-05	8.9e-05
5	0.000129	9.9e-05	0.000104	6.6e-05	6.8e-05	7e-05
6	0.00013	9.9e-05	0.000103	6.6e-05	6.7e-05	7e-05
7	0.000127	9.8e-05	0.000103	6.6e-05	6.6e-05	7.1e-05
8	0.000127	9.9e-05	0.000104	6.6e-05	6.7e-05	7.1e-05
9	0.000175	8.9e-05	9.3e-05	5.9e-05	5.9e-05	6.3e-05
10	9.8e-05	8.7e-05	9.2e-05	5.7e-05	5.7e-05	6.3e-05
11	9.3e-05	8.7e-05	9.2e-05	5.9e-05	5.9e-05	6.3e-05
12	9.5e-05	8.6e-05	9e-05	6e-05	5.9e-05	6.3e-05
13	9.5e-05	8.7e-05	9.1e-05	5.8e-05	5.9e-05	6.2e-05
14	9.5e-05	8.6e-05	9.3e-05	5.8e-05	5.9e-05	6.3e-05
15	9.2e-05	8.8e-05	9.2e-05	5.9e-05	5.9e-05	6.3e-05
16	9.4e-05	8.7e-05	9.1e-05	5.8e-05	5.8e-05	6.3e-05
17	0.000117	8.8e-05	9.2e-05	5.9e-05	5.8e-05	6.3e-05
18	9.6e-05	8.6e-05	9.2e-05	5.8e-05	5.8e-05	6.3e-05
19	9.3e-05	8.7e-05	9.2e-05	5.9e-05	5.8e-05	6.3e-05
20	9.4e-05	8.7e-05	9e-05	5.9e-05	5.9e-05	6.1e-05
21	9.5e-05	8.7e-05	9.1e-05	5.7e-05	5.9e-05	6.2e-05
22	9.6e-05	8.7e-05	9.1e-05	5.8e-05	5.8e-05	6.3e-05
23	9.3e-05	8.6e-05	9.3e-05	5.8e-05	5.9e-05	6.2e-05
24	9.3e-05	8.8e-05	9.2e-05	5.8e-05	5.9e-05	6.3e-05
25	0.000123	9.1e-05	7.5e-05	4.9e-05	4.9e-05	5.2e-05
26	7.7e-05	7.1e-05	7.5e-05	4.7e-05	4.8e-05	5.2e-05
27	7.6e-05	7.1e-05	7.5e-05	4.7e-05	4.7e-05	5.2e-05
28	7.7e-05	7.1e-05	7.5e-05	4.8e-05	4.8e-05	5.1e-05
29	7.8e-05	7.1e-05	7.4e-05	4.7e-05	4.8e-05	5.2e-05
30	7.7e-05	7.2e-05	7.5e-05	4.7e-05	4.8e-05	5.1e-05
